title	myanimelist	anidb	anilist	animenewsnetwork	animeplanet	anisearch	annict	hikka	imdb	kaize	kaize_id	kitsu	letterboxd_lid	letterboxd_slug	letterboxd_uid	livechart	nautiljon	nautiljon_id	notify	otakotaku	shikimori	shoboi	silveryasha	simkl	themoviedb	themoviedb_season_id	themoviedb_type	thetvdb	thetvdb_season_id	trakt	trakt_may_invalid	trakt_season	trakt_season_id	trakt_slug	trakt_type
Boku wa Konomama Kaeranai	1216	3540	1216	6279	boku-wa-kono-mama-kaeranai	2527	3014	boku-wa-konomama-kaeranai-4b121b	tt5542784	boku-wa-konomama-kaeranai	8083	1093	ga5G	i-shall-never-return	385204	8147	boku+wa+konomama+kaeranai	2589	H7cx5FmiR		1216			40381	453175		movie			299667	False			i-shall-never-return-1994	movies
Butagini Jugeojura	55726		184295		die-please	19105		die-please-257e0a									butagini+jugeojura!	11765			55726				325942	523343	tv	479408	2255869	320591	False	1	524614	die-please	shows
CHOPPER's		19813	204432	38159	choppers	21128						50409				13444	chopper-s	13835						2985082	308828	490581	tv	474203		311617	False	1	505599	chopper-s	shows
Candy Caries	63276		205772	38264			17013	candy-caries-564327		candy-caries	8262	50464					candy+caries	13918			63276		6118		312383	497144	tv	472974	2228721	315206	False	1	512583	candy-caries	shows
Cengjing You Yongshi	60582	19692	199430		cengjing-you-yongshi	21000		cengjing-you-yongshi-d80b5c	tt39166658			50317				13353	ceng+jing+you+yong+shi	12185			60582		6009	2918496	239320	365313	tv	469890	2214140	243567	False	1	394926	so-you-re-raising-a-warrior	shows
Cheng Huang Lu	64375		137664			21593											cheng+huang+lu	10593			64375				325080	521638	tv	479072	2254596	320256	False	1	523867	the-chronicles-of-city-god	shows
Chibi Godzilla no Gyakushuu	54644	17889	162312	27234	chibi-godzilla-raids-again	18277	10552	chibi-godzilla-no-gyakushuu-a962b8	tt27531662	chibi-godzilla-no-gyakushuu	24427	47127				11829	chibi+godzilla+no+gyakushuu	11754	BFNUlCb4R		54644	6704		2109294	221725	331401	tv	434965		203098	False	1	318393	chibi-godzilla-raids-again	shows
Chibi Godzilla no Gyakushuu 2nd Season	58351	18631	175869		chibi-godzilla-raids-again-2nd-season	19114	12766	chibi-godzilla-no-gyakushuu-2nd-season-128a9d	tt27531662	chibi-godzilla-no-gyakushuu-2nd-season	24839	48610				12554			tu1X3B0Sg		58351	7063		2465738	221725		tv	434965		203098	True			chibi-godzilla-raids-again	shows
Chibi Godzilla no Gyakushuu 3rd Season	61765	19427	193883	36347	chibi-godzilla-raids-again-3rd-season	20642	16104	chibi-godzilla-no-gyakushuu-3rd-season-1b0e4b	tt27531662	chibi-godzilla-no-gyakushuu-3rd-season	25421	49962				13178			zIXtlIyHR		61765	7534		2827542	221725		tv	434965		203098	True			chibi-godzilla-raids-again	shows
Chiikawa	50250	16943	140842	24912	chiikawa	16709	9052	chiikawa-2ba679	tt26997679	chiikawa	6726	45405				10860	chiikawa	10970	VqzYhtynR		50250	6957	3665	1764779	194916	282969	tv	415509		194058	False	1	289504	chiikawa	shows
Chou Futsuu Mahou Shoujo Asumi Toruverse	62522	19665	198926			20981	12193	chou-futsuu-mahou-shoujo-asumi-toruverse-dcf1b7		chou-futsuu-mahou-shoujo-asumi-toruverse	25486	50178				12619					62522	7633	5996	3004124	302335		tv			301474	False	1	491974	chou-futsuu-mahou-shoujo-asumi-toruverse	shows
Chuu Bra!!	6645	7124	6645	11135	chu-bra	5509	1264	chuu-bra-6b24b3	tt1582777	chuu-bra		4648				4057			ZsA6cFimR		6645	1810		38303	42409	52156	tv	133331	168501	42186	False	1	53397	chu-bra	shows
Daikenja Riddle no Jikan Gyakkou	63433	19994	210375	38448		21235	17099	daikenja-riddle-no-jikan-gyakkou-b41dab				50648				13515	daikenja+riddle+no+jikan+gyakkou	13955		3309	63433	7830	6156		313395	499077	tv	473668	2231957	316359	False	1	514693	the-regression-of-great-sage-riddle	shows
Dream Photobooth	61582				dream-photobooth			dream-photobooth-52d5d4				49887									61582				290322		tv			284232	False	1	461520	dream-photobooth	shows
Dungeons & Television	62238	19526	198560		dungeons-and-television	20707	16476	dungeons-television-e326bc		dungeons-television		50096				13281					62238		5923	2863432	298543	470274	tv	467064		295141	False	1	480376	dungeons-television	shows
Egumi Legacy	58926	18747	177097	32673	egumi-legacy	19309	13050	egumi-legacy-0ad663	tt32898183	egumi-legacy	24990	49052				12636	egumi+legacy	12756	85f9hcyIR		58926	7134	5270	2511718	256797	398308	tv	450448		244105	False	1	396002	egumi-legacy	shows
Elena Evoy Gwanchal Ilji	54693	19365	166038			20506		observing-elena-evoy-668595				47580					elena+evoy+gwanchal+ilji	11757			54693			2799656	252717	390081	tv	463362	2185576	236949	False	1	383183	observing-elena-evoy	shows
Enjou Bokumetsu! Mahou Shoujo Aiko	57950		199795		enjou-bokumetsu-mahou-shoujo-aiko		11994	enjou-bokumetsu-mahou-shoujo-aiko-9a8188				48752					enjou+bokumetsu+!+mahou+shoujo+aiko	12480			57950	6965			251369	387496	tv			234551	False	1	378734	enjou-bokumetsu-mahou-shoujo-aiko	shows
Enter The Garden	58780	18605	204762	32665	enter-the-garden	19233	16941	enter-the-garden-d7ca95	tt32272445			48761				12635	enter+the+garden	12768	TKSDCKdNR		58780		5712	2450552	251708	388163	tv	448911		235080	False	1	380078	enter-the-garden	shows
Everyday Host	60535	19268	185584	34192	everyday-host	20395	14944	everyday-host-773b0c	tt35346410	everyday-host	25232	49819				12974	everyday+host	13198	xKPsVoSHR	2996	60535	7433	5571	2747938	279710	433644	tv	457902	2160884	270241	False	1	436127	everyday-host-club	shows
Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai Season 3	62149	19851	197094		fategrand-order-fujimaru-ritsuka-wa-wakaranai-season-3	20807	16421	fategrand-order-fujimaru-ritsuka-wa-wakaranai-season-3-d5259c	tt33038878	fategrand-order-fujimaru-ritsuka-wa-wakaranai-season-3	25448					13260					62149				219816	468290	tv			202898	False	3	478264	fate-grand-order-you-ve-lost-ritsuka-fujimaru	shows
Fei Ren Zai	37292	16607	103350		deviant	14188	10880	fei-ren-zai-3066cf		fei-ren-zai	9624	41199				10029	fei+ren+zai	7733	bG4vKiGmg		37292	6750			94039	133144	tv	353648	781569	138476		1	174445	nonhuman	shows
Fei Ren Zai 2nd Season	52523	17816	151691		deviant-6th-season	17601		fei-ren-zai-2nd-season-a666ad		fei-ren-zai-2nd-season	5371	50507							lDT_GFTVg		52523			2073860	94039	314514	tv	353648	2050585	138476		6	317928	nonhuman	shows
Fei Ren Zai 3rd Season	61950	19500	195886					fei-ren-zai-3rd-season-299fb8		fei-ren-zai-3rd-season											61950				94039	462456	tv	353648	2249627	138476	False	3	221563	nonhuman	shows
Fei Ren Zai 3rd Season Part 2	63788	20055	211270					fei-ren-zai-3rd-season-part-2-ab89ee													63788				94039	462456	tv	353648		138476	True	3	221563	nonhuman	shows
Fushigi Dagashiya: Zenitendou	42295	15608	120325	23665	fushigi-dagashiya-zenitendou	15369	7596	fushigi-dagashiya-zenitendou-035e58	tt12787182	fushigi-dagashiya-zenitendou	6738	43256				10038	fushigi+dagashiya+zenitendou	10723			42295	5742	5631	1376005	105179	154422	tv	389233	1870356	167762	False	1	233099	the-supernatural-sweet-shop	shows
Future Kid Takara	54160	19239	159981	35336	future-kid-takara	18216	10391	future-kid-takara-85a5e0	tt38046507	future-kid-takara		50357				11778	future+kid+takara	11816	bgSsN0h4g		54160	7646		2747908	301864	477561	tv	461868	2178944	300750	False	1	490538	future-kid-takara	shows
Gakkou de wa Oshiete Kurenai Taisetsu na Koto	61731		193238		gakkou-de-wa-oshiete-kurenai-taisetsu-na-koto	20665	16045	gakkou-de-wa-oshiete-kurenai-taisetsu-na-koto-1a5f06		gakkou-de-wa-oshiete-kurenai-taisetsu-na-koto	25461						gakkou+dewa+oshiete+kurenai+taisetsu+na+koto	13391	-wW156yNg		61731	7539			294718	462649	tv			289485	False	1	471256	important-things-they-don-t-teach-you-at-school	shows
Ganbare! Nakamura-kun!!	59551	18815	180228	33286	go-for-it-nakamura	19626	13783	ganbare-nakamura-kun-09808a	tt37182080	ganbare-nakamura-kun	25624	49123				12799	ganbare!+nakamura-kun!!	12873	lppMi63Sg		59551	7769	6179	2541658	274622	424182	tv	453319	2141481	260294	False	1	422128	go-for-it-nakamura-kun	shows
Ganglion	62378	19548	198117	37694	ganglion	20868	16503	ganglion-3c9338	tt38128737			50123				13297	ganglion	13586		3143	62378	7579	5926	2869786	299595	472767	tv	467450		297409	False	1	484405	ganglion	shows
Gekkan! Nanmono Anime	61297	19870	188753	35302	gekkan-nanmono-anime	20400	15768	gekkan-nanmono-anime-817b9e	tt37509404			49961				13111	gekkan!+nanmono+anime	13993			61297		5788	3010518	289728	453149	tv			283355	False	1	460383	gekkan-nanmono-anime	shows
Gelpiyo	63216	19788	204698	38179		21140	16985	gelpiyo-f3a2e1				50428				13450	gelpiyo	14004			63216			2975266	309774	492312	tv	473611	2231738	312771		1	507646	gelpiyo	shows
Gu Wei Nan Ting	62216	19660	168087		gu-wei-nan-ting	18620		gu-wei-nan-ting-f56c0b				50254					gu+wei+nan+ting	12067			62216			2917350	297092	467537	tv	453168	2140890	293364	False	1	477332	the-chosen-one-2025-293364	shows
Guilty Hole	62379	19533	182531		room-of-guilty-pleasure	20900	15008		tt38128785							13295					62379	7615	6069		288577		tv	455169		296471	False	1	482600	room-of-guilty-pleasure	shows
Hana-Doll*: Reinterpretation of Flowering	55710	18802	166371	28697	hanadoll-reinterpretation-of-flowering	19499	10929	hana-doll-reinterpretation-of-flowering-ac9263		hana-doll-reinterpretation-of-flowering	25280	49850				12115	hana-doll*-+reinterpretation+of+flowering	12553	s_900TVIg	3043	55710	7369	5536	2531790	283361	440423	tv	436336	2069534	275057		1	445088	hana-doll-reinterpretation-of-flowering	shows
Hanhua Riji	39676	15004	110646		god-troubles-me	15050		hanhua-riji-f98b17	tt15393416	hanhua-riji	10638	43002				9541	han+hua+ri+ji	8625	K2v2tkcGR		39676		1154	1225831	94209	133442	tv	379528	1831292	160035	False	1	214950	god-troubles-me	shows
Hanhua Riji 2nd Season	42956	16720	121679		god-troubles-me-2nd-season	17126		hanhua-riji-2nd-season-9320c4	tt15393416	hanhua-riji-2nd-season		43908				10260			_7bLtkcGg		42956		4554	1735837	94209	156915	tv	379528	1871203	160035	False	2	230221	god-troubles-me	shows
Hanhua Riji 3rd Season	50401	17122	132530		god-troubles-me-3rd-season	17128		hanhua-riji-3rd-season-f91f9b	tt15393416	hanhua-riji-3rd-season		46645				11593			xjRbE8cIR		50401		4555	2008844	94209	220383	tv	379528	2011214	160035	False	3	299811	god-troubles-me	shows
Hanhua Riji 4th Season	53449	18463	156109		god-troubles-me-4th-season	21278		hanhua-riji-4th-season-b074e3				48851				11594			te3rP8cIR		53449			2484894	94209	314523	tv	379528	2116192	160035	False	4	371413	god-troubles-me	shows
Heika Watashi wo Wasurete Kudasai	62428	19619	198312			20870	16510	heika-watashi-wo-wasurete-kudasai-91a4af		heika-watashi-wo-wasurete-kudasai		50135				13303	heika+watashi+wo+wasurete+kudasai	13612		3148	62428	7636	5985	2896910	299743	473119	tv	468580	2208450	297499	False	1	484812	forget-that-night-your-majesty	shows
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu. Mini	55957		169373		the-most-heretical-last-boss-queen-from-villainess-to-savior-mini		16263	higeki-no-genkyou-to-naru-saikyou-gedou-last-boss-joou-wa-tami-no-tame-ni-tsukushimasu-mini-4ee9d4	tt23132598							12259			i6b6XDRSg		55957				213326	358121	tv	426528	2027274	199332	False	0	334869	the-most-heretical-last-boss-queen-from-villainess-to-savior	shows
Hyakki Yakoushou	63469	20000	207675	38465	hyakki-yakoushou	21264	17116	hyakki-yakoushou-3a1ff4	tt15782226			50614				13520	hyakki+yakoushou	13943		3322	63469	7840	6161		318478	508650	tv	473925	2233116	318076	False	1	518804	hyakki-yakoushou-2026	shows
Isekai no Sata wa Shachiku Shidai: Omoi wo Hasemashita	63503		212563		isekai-office-worker-the-other-worlds-books-depend-on-the-bean-counter-special		17128	isekai-no-sata-wa-shachiku-shidai-omoi-wo-hasemashita-61749e	tt38652044	isekai-no-sata-wa-shachiku-shidai-omoi-wo-hasemashita							isekai+no+sata+wa+shachiku+shidai+-+omoi+wo+hasemashita	13873			63503		6430		284495	518976	tv	456099		276788	False	0	522468	isekai-office-worker-the-other-world-s-books-depend-on-the-bean-counter	shows
Jian Wang 3: Shen Jianxin de 365 Tian	60579	19708	199439		jian-wang-3-shen-jianxin-de-365-tian			jian-wang-3-shen-jianxin-de-365-tian-cad97f									jian+wang+3+·+shen+jian+xin+de+365+tian	13134			60579			2926056	305604		tv			307974	False	1	499365	the-man-from-dao-xiang-cun	shows
Jie Yao	41051	15354	114113		antidote	15068		jie-yao-0fea74	tt14398050	jie-yao	11788	43119				9923	jie+yao	9156	s3F-6B8Wg		41051		393	1283863	99147	142936	tv	375461	1814071	157306	False	1	208634	antidote-2020	shows
Jintian de Wancan Jiushi Ni	58554	18695	156097		jintian-de-wancan-jiushi-ni	20289		jintian-de-wancan-jiushi-ni-222e33	tt33014582			49011					jin+tian+de+wan+can+jiu+shi+ni	11546			58554		5303	2496714	250657	386283	tv	450167		233398	False	1	376805	mythical-creatures-are-my-dinners	shows
Jiu Cang Miao Wo Season 2.5	62055		204624			20756	16204	jiu-cang-miao-wo-season-25-23a2e2													62055	7537			296127		tv			292126	False	3	475272	dnaxcat	shows
Jochum Season 2	62231	19855	198413	37291		20954	16425	jochum-season-2-798591								13267	jochum+season+2	13611			62231			3003306	256166		tv			242979	False	2	491427	jochum	shows
Junzi Wu Ji	60565	19150	186757		junzi-wu-ji	20235		junzi-wu-ji-926a33		junzi-wu-ji	25175						jun+zi+wu+ji	11543	9iPX0qNNg		60565			2712472	283993	441994	tv	460570		276177	False	1	447344	everything-is-fine-with-the-emperor	shows
Kai Pai La! Guaishou Da Dianying	60588		206145		kai-pai-la-guaishou-da-dianying			kai-pai-la-guaishou-da-dianying-dd71ae									kai+pai+la+!+guai+shou+da+dian+ying	12258			60588			3100489	320598	512754	tv	477366	2247685	318794		1	520484	action-monster-big-movie	shows
Kaijuu Sekai Seifuku (TV)	60070	19270	184289		kaijuu-sekai-seifuku	20040	14140	kaijuu-sekai-seifuku-tv-8094df	tt35348212	kaijuu-sekai-seifuku-tv	25234	49843				12721	kaijuu+sekai+seifuku+(tv)	12806	8HGip_MNg		60070	7443		2747942	285260	444193	tv	451603		277757	False	1	449969	kaijuu-sekai-seifuku	shows
Kankin Kuiki Level X 2nd Season	60094	19179	182877	33715	lockdown-zone-level-x-season-2	19925	14147	kankin-kuiki-level-x-zoku-hen-ec33af	tt33613789	kankin-kuiki-level-x-2nd-season	25107	49283				12881			vHqbwuWNg		60094	7351	5508	2735414	261135	405709	tv	452993	2140196	251306	True	1	407393	lockdown-zone-level-x	shows
Kitarou Tanjou: Gegege no Nazo	48426	16107	130622	24111	the-birth-of-kitaro-the-mystery-of-gegege	16981	13818	kitarou-tanjou-gegege-no-nazo-b38b2d	tt16270512	kitarou-tanjou-gegege-no-nazo	6920	45534	y8zA	the-birth-of-kitaro-the-mystery-of-gegege	813611	10454	kitarou+tanjou+-+gegege+no+nazo	10129	tauj8NUGg		48426		4769	1560055	904759		movie			724991	False			the-birth-of-kitaro-the-mystery-of-gegege-2023	movies
Kiyoneko	50529	16918	166049	26802	kiyoneko	16801	10373	kiyoneko-fc94f2		kiyoneko	22170					10844	kiyoneko	11628			50529		4454	2047454	215779	318831	tv	441622	2091774	209844	False	1	334451	kiyoneko	shows
Koala Enikki	62005	19637	194389	36508		20867	16308	koala-enikki-354870		koala-enikki		50253				13255	koala+enikki	13595			62005		5973	2893986	296933	467214	tv	471395		293178	False	1	476985	koala-s-diary	shows
Koupen-chan	60534	19058	185646	34200	koupen-chan	19967	14943	koupen-chan-446304	tt36270045	koupen-chan	25233	49842				12975	koupen-chan	13115	CcdSSoSNg		60534	7442	5664	2663188	285797	445215	tv	457929	2160987	278309	False	1	451048	koupen-chan	shows
Kujima Utaeba Ie Hororo	58832	18622	177508	32721	kujima-why-sing-when-you-can-warble	19290	16697	kujima-utaeba-ie-hororo-62e2bd	tt39122722	kujima-utaeba-ie-hororo	25718	48845				12082	kujima+utaeba+ie+hororo	12678	Rap35pESR	3236	58832	7790	6016	2461048	283888	441809	tv	449913	2127160	276049	False	1	447096	kujima-why-sing-when-you-can-warble	shows
Kyojinzoku no Hanayome	41466	15447	116648	23299	the-titans-bride	15100	7395	kyojinzoku-no-hanayome-633517	tt12362250	kyojinzoku-no-hanayome	12357	43092				10022			yJmjnoGGR		41466	5712	1010	1351525	103830	151580	tv	382658	1844125	163277		1	221348	the-titan-s-bride	shows
Little Twin Stars: Hajimari no Monogatari		19787	204696	38178									ZLVa	little-twin-stars-hajimari-no-monogatari	1472222	13455	little+twin+stars+-+hajimari+no+monogatari	13863						2975264	1604645		movie								
Ma La Nu Pei	41511	15595	116848		spicy-girl	15441		ma-la-nu-pei-d7bd5a	tt28760087	ma-la-nu-pei		43166				9860	ma+la+nu+pei	8842	ca2pph9ZR		41511		983	1402693	100258	144855	tv	380353	1834884	160590	False	1	216017	spicy-girl	shows
Mamonogurai no Boukensha: Ore dake Mamono wo Kuratte Tsuyoku Naru	63304	19831	210234	38287		21200	17033	mamonogurai-no-boukensha-ore-dake-mamono-wo-kuratte-tsuyoku-naru-d3d5ab	tt39673631	mamonogurai-no-boukensha-ore-dake-mamono-wo-kuratte-tsuyoku-naru	25764	50570				13480	mamonogurai+no+boukensha+-+ore+dake+mamono+wo+kuratte+tsuyoku+naru	13920			63304	7827	6123	2992900	310921	494555	tv	472764	2227764	314072	False	1	510219	monster-eater	shows
Mao Zhi Ming	49380	16775	116010		cats-tea	16641		mao-zhi-ming-a99c28		mao-zhi-ming	13174	45412				10924	mao+zhi+ming	9158	BPF9yCHnR		49380		3211	1735831	134924	213004	tv	412114	1965702	190927	False	1	278999	cat-s-tea	shows
Mao Zhi Ming 2nd Season	54949	18701	159452		cats-tea-2nd-season	19177		mao-zhi-ming-2nd-season-da83f7		mao-zhi-ming-2nd-season	24416	47388							dRb4qvE4g		54949				134924	322056	tv	412114		190927	False	2	338333	cat-s-tea	shows
Mao Zhi Ming Specials	51000		145830		cats-tea-specials	17180		mao-zhi-ming-specials-cb78e2		mao-zhi-ming-specials	13176	45863									51000		3623		134924	243240	tv	412114		190927	False	0	338332	cat-s-tea	shows
Marika-chan no Koukando wa Bukkowareteiru	62983	19730	202523	38030	marikas-love-meter-malfunction	21024	16730	marika-chan-no-koukando-wa-bukkowareteiru-56a421	tt41395364	marika-chan-no-koukando-wa-bukkowareteiru	25617	50580				13398	marika-chan+no+koukando+wa+bukkowarete+iru	13753		3298	62983	7815	6164	2941080	315816	503788	tv	471300	2219980	317227	False	1	516806	marika-s-lovemeter-malfunction	shows
Miru: Watashi no Mirai	55727	18073	166373	28699	miru-watashi-no-mirai	18465	10931	miru-9bd57f	tt28400589	miru-watashi-no-mirai	25193	49848				12120			rMi0L3uIg	3061	55727	7404	5305	2193166	259466	402875	tv	436374		249063	False	1	403633	miru-paths-to-my-future	shows
Mofusand	63151	19783	204656	38172	mofusand	21129	16911	mofusand-a0cae6								13447					63151	7724		2972426	308934		tv	472627		311697	False	1	505755	mofusand-the-animation	shows
Muzik Tiger In the Forest	58908	18639	177633	32735	muzik-tiger-in-the-forest	19298	15812	muzik-tiger-0e4d25	tt36534630							12662	muzik+tiger+in+the+forest+2	13609	0z5rYFoHg		58908			2747932	287704	448893	tv	450708		280925	False	1	455487	muzik-tiger-in-the-forest	shows
Muzik Tiger In the Forest 2nd Season	61924	19405	195383	37851	muzik-tiger-in-the-forest-2nd-season	20699	16303	muzik-tiger-in-the-forest-2nd-season-f4ede7		muzik-tiger-in-the-forest-2nd-season	25377										61924			2822146				450708	2209496	280925	True			muzik-tiger-in-the-forest	shows
Namui BL Manhwa Animation	50201		110211		someone-elses-bl-cartoon	19048		namui-bl-manhwa-animation-c3a78d		namui-bl-manhwa-animation	14265	44540									50201				105814	155962	tv	378937		174707	False	1	246756	someone-else-s-bl-cartoon	shows
Nanashi Kaidan	52814		156061	28814	nanashi-kaidan	17548	9714	nanashi-kaidan-131c51	tt33131788	nanashi-kaidan	5300	49428				11338	nanashi+kaidan	11312			52814		4238		206388	301530	tv	422579		260208	False	1	421980	nanashi-kaidan	shows
Nanashi Kaidan 2nd Season	56105		185642	28814	nanashi-kaidan-2nd-season		10977	nanashi-kaidan-2023-a5ab61	tt33131788			49429				12229					56105				206388	425741	tv	422579		260208	False	2	424190	nanashi-kaidan	shows
Nanashi Kaidan 3rd Season	59649		185669		nanashi-kaidan-3rd-season		13835	nanashi-kaidan-3rd-season-070c91	tt33131788			49430				12759					59649				206388	425742	tv	422579		260208	False	3	424192	nanashi-kaidan	shows
Neko ni Tensei shita Ojisan	58395	18532	176191	32407	neko-ni-tensei-shita-oji-san	19148	12788	neko-ni-tensei-shita-ojisan-d8e129	tt33614026	neko-ni-tensei-shita-ojisan	25097	48644				12587	neko+ni+tensei+shita+ojisan	12732	2uOyHl0Sg	2883	58395	7270	5188	2401490	248707	383153	tv	447354		230400	False	1	371866	cat-uncle-the-guy-that-got-reincarnated-as-a-cat	shows
Ni Zai Xing Guang Shen Chu	40994	19922	116620		ni-zai-xingguang-shenchu	18761		ni-zai-xing-guang-shen-chu-776b69		ni-zai-xing-guang-shen-chu		50347					ni+zai+xing+guang+shen+chu	9068	1GzAFSYGg		40994		789	3038250	103084	150083	tv	380081	1833496	160411	False	1	215678	stars-fall	shows
Nmeneko	60947	19197	186313	34414	nmeneko	20237	15165	nmeneko-087b2e	tt36534643	nmeneko	25286	49973				13023	nmeneko	13179	FK0Rj70NR		60947	7440		2731110	282984	439676	tv	459332		274690	False	1	444261	nmeneko	shows
Nomo no Kuni	61327	19253	192928		nomo-no-kuni	20456	15509	nomo-no-kuni-1eecee	tt37894312			49758	TUge	the-land-of-nomo	1332431	13121	nomo+no+kuni	13994	YWzdIS1HR		61327		5695	2747918	1455360		movie			1191403	False			the-land-of-nomo-2025	movies
Ochibi-san	56588	18182	168992	29776	the-diary-of-ochibi	18689	11116	ochibi-san-0874b6	tt29469464	ochibi-san	24697	48008				12322	ochibi-san	12125	HJgQKCzSR		56588	6838	4925	2250450	234642	356551	tv	439302	2082321	210080	False	1	334895	the-diary-of-ochibi	shows
Odekake Kozame Season 2	63125	19929	204269	38140	odekake-kozame-season-2	21157	16880	odekake-kozame-2nd-season-c0fa10		odekake-kozame-season-2						13431					63125	7842		3042346	227218		tv	435306		207042	True			odekake-kozame	shows
Oide yo Mahou Shoujo Mura (Fuhou Senkyo)	61206	19282	187998	35145	oide-yo-mahou-shoujo-mura-fuhou-senkyo	20795	15706	oide-yo-mahou-shoujo-mura-fuhou-senkyo-d07edc		oide-yo-mahou-shoujo-mura-fuhou-senkyo	25320	49679				13091	oide+yo+mahou+shoujo+mura+-fuhousenkyo-	13579	DEdCgM0Ng		61206	7416		2832434	286487	446474	tv	461487	2177268	279400	False	1	452771	welcome-to-magical-girl-village-illegally-occupied	shows
Omae Umasou da na	9204	7655	9204	11715	heart-and-yummie	6556	8291	omae-umasou-da-na-85ae8d	tt1734113	omae-umasou-da-na	14919	5631	3avS	heart-and-yummie	75540	4728	omae+umasou+da+na	4239	42PZpFmiR		9204		5604	48306	89825		movie			66954	False			heart-and-yummie-2010	movies
Onee-chan Gokko	63396	19871	207084				17041	oneechan-gokko-467f23				50625				13487					63396		6149	3010520	312822	497966	tv	473516	2231286	315589	False	1	513479	playing-sister	shows
Perfect Addiction	63514			38513		21285	17134	perfect-addiction-4ce7d8								13528	perfect+addiction	13963			63514		6424		314561	501484	tv	479026	2254435	320508	False	1	524459	perfect-addiction	shows
Pino & Shinoby				38673			17269									13550	pino+-+shinoby	14008				7833		3103139	318460	508617	tv	477456	2248016	318867		1	520632	pino-shinoby	shows
Pochars	59732	18912	182772	33465	pochars	19653	15120	pochaazu-02c620		pochars	25120					12821	pochars	13105	w1Minq6Ig		59732			2603458	270660		tv	474219		254802	False	1	412949	pochars	shows
Quan Zhi Ming	56772	20007	174709		quan-zhi-ming	18796		quan-zhi-ming-2e69cd				48219					quan+zhi+ming	11969	_AX3Y6WSg		56772				134924	243240	tv	412114		190927	True			cat-s-tea	shows
